Customer_ID,Customer_Name,Birth_Date,Marital_Status,Annual_Income,Total_Children,Education_Level,Occupation,Home_Owner
BB112,Ramdin Verma,08-04-1966,M," ? 30,41,590.00 ",2,Bachelors,Professional,Y
BB113,Sharat Chandran,14-05-1965,S," ? 25,59,363.00 ",0,Bachelors,Professional,N
BB114,Birender Mandal,12-08-1965,M," ? 34,73,324.00 ",3,Bachelors,Professional,Y
BB115,Shiv Prakash,15-02-1968,S," ? 25,54,003.00 ",0,Bachelors,Professional,N
BB116,Vikram Singh,08-08-1968,S," ? 16,70,016.00 ",0,Bachelors,Professional,Y
BB117,Ram Dutt Gupta,05-08-1965,S," ? 20,90,426.00 ",0,Bachelors,Professional,Y
BB118,Khadak Singh,09-05-1964,M," ? 31,21,547.00 ",3,Bachelors,Professional,Y
BB119,Gurmit Singh,07-07-1964,S," ? 26,97,368.00 ",0,Bachelors,Professional,Y
BB120,Nahar Singh,01-04-1964,S," ? 32,02,939.00 ",0,Bachelors,Professional,N
BB121,Ram Kumar,06-02-1964,S," ? 16,48,102.00 ",0,Bachelors,Professional,N
BB122,Sunder Paal,04-11-1963,M," ? 28,45,682.00 ",4,Bachelors,Professional,Y
BB123,Maansingh Aswal,18-01-1968,M," ? 8,31,201.00 ",2,Bachelors,Management,Y
BB124,Punit Khandelwal,06-08-1968,M," ? 7,36,666.00 ",2,Bachelors,Management,Y
BB125,Arvind Kumar Yadav,09-05-1968,S," ? 32,59,659.00 ",0,Bachelors,Management,N
BB126,Shiv Shakti Singh,27-02-1979,S," ? 4,37,527.00 ",0,Partial College,Skilled Manual,N
BB127,Moti Lal,28-04-1979,M," ? 7,58,313.00 ",0,Partial College,Skilled Manual,Y
BB128,Kausal Kumar,26-06-1944,S," ? 4,46,088.00 ",0,High School,Skilled Manual,Y
BB129,Mohabbat Ali,09-10-1944,S," ? 26,09,624.00 ",0,Partial College,Clerical,Y
BB130,Raj Kumar,07-03-1978,S," ? 10,10,076.00 ",0,High School,Skilled Manual,N
BB131,Jaswant Singh,20-09-1978,S," ? 20,75,867.00 ",0,High School,Skilled Manual,N
BB132,Sevak Lal,03-09-1978,S," ? 30,95,997.00 ",0,Partial College,Skilled Manual,N
BB133,Dharam Singh,12-10-1978,M," ? 7,86,094.00 ",0,Partial College,Skilled Manual,Y
BB134,Manoj Yadav,11-10-1978,M," ? 20,56,341.00 ",0,Partial College,Skilled Manual,Y
BB135,Ram Singh,17-09-1978,M," ? 29,83,097.00 ",0,Partial College,Skilled Manual,Y
BB136,Preetam Kumar,23-12-1945,M," ? 2,97,536.00 ",2,Partial High School,Clerical,Y
BB137,Pankaj Kumar,03-04-1946,S," ? 12,47,379.00 ",0,Partial College,Clerical,N
BB138,Sheak Shakir,07-12-1946,M," ? 22,74,013.00 ",2,Partial College,Clerical,Y
BB139,Riyasat Ali,11-04-1946,M," ? 14,17,266.00 ",2,Partial College,Clerical,Y
BB140,Vinit Katariya,21-12-1946,M," ? 7,33,913.00 ",2,Partial College,Clerical,Y
BB141,Kali Charan,22-02-1947,M," ? 10,64,668.00 ",2,Partial High School,Clerical,Y
BB142,Badshya Khan,22-08-1947,M," ? 6,97,299.00 ",4,High School,Skilled Manual,Y
BB143,Devinder Chadda,11-06-1947,M," ? 7,43,499.00 ",4,High School,Skilled Manual,Y
BB144,Mohan Singh,23-09-1947,M," ? 13,91,138.00 ",4,High School,Skilled Manual,Y
BB145,Yash Mittal,19-06-1947,M," ? 32,35,988.00 ",4,High School,Skilled Manual,Y
BB146,Sumit Mitra,24-02-1948,M," ? 17,61,584.00 ",2,Partial High School,Clerical,Y
BB147,Supriyal Sen,18-12-1978,M," ? 24,87,519.00 ",0,Partial College,Skilled Manual,Y
BB148,Gajender Singh Goldy,27-11-1977,S," ? 23,11,588.00 ",0,Partial High School,Clerical,N
BB149,Pooran Chand Sharma,23-03-1948,M," ? 23,88,355.00 ",2,Partial High School,Clerical,Y
BB150,Mukul Yadav,17-12-1948,M," ? 12,75,097.00 ",3,Partial College,Clerical,Y
BB151,Sanjay Charee,01-08-1977,M," ? 29,03,546.00 ",0,Partial College,Skilled Manual,Y
BB152,Raja Babu,16-10-1977,M," ? 15,21,551.00 ",0,Partial College,Skilled Manual,Y
BB153,Rajkumar Chawla,13-06-1977,M," ? 7,37,197.00 ",0,Partial College,Skilled Manual,Y
BB154,Mohd Ataullah,24-02-1976,M," ? 32,74,547.00 ",0,Partial College,Skilled Manual,Y
BB155,Neeraj Kumar,24-05-1949,M," ? 5,48,493.00 ",2,Partial High School,Clerical,Y
BB156,Jamil Khan,19-05-1950,S," ? 17,82,271.00 ",0,High School,Skilled Manual,N
BB157,Rijul Aggarwal,22-03-1950,M," ? 22,42,315.00 ",3,High School,Skilled Manual,Y
BB158,Mohd Shakib,27-02-1950,M," ? 12,13,152.00 ",3,High School,Skilled Manual,N
BB159,Rahul Kumar,22-11-1950,M," ? 31,89,169.00 ",3,High School,Skilled Manual,Y
BB160,Md Mustafa,18-07-1980,S," ? 5,58,867.00 ",0,Partial High School,Clerical,Y
BB161,Har Parsad,07-09-1951,M," ? 11,20,670.00 ",3,High School,Skilled Manual,Y
BB162,Shelender Yadav,04-08-1951,S," ? 20,62,288.00 ",0,High School,Skilled Manual,N
BB163,Mohd Aakib,07-08-1951,S," ? 23,16,734.00 ",0,Partial College,Clerical,N
BB164,Surender Singh Chauhan,20-08-1980,M," ? 24,48,408.00 ",0,Partial College,Skilled Manual,N
BB165,Rahul Sharma,10-03-1952,M," ? 7,90,233.00 ",2,Partial College,Skilled Manual,Y
BB166,Keshar Ansari,05-03-1952,M," ? 17,35,219.00 ",2,Partial College,Skilled Manual,Y
BB167,Raju Chhotu,03-04-1953,M," ? 13,10,331.00 ",3,Partial College,Skilled Manual,Y
BB168,Kuldeep Singh,12-10-1953,M," ? 23,03,187.00 ",2,Graduate Degree,Management,Y
BB169,Lalit Rana,27-04-1954,M," ? 32,29,780.00 ",2,Partial College,Skilled Manual,Y
BB170,Pulkit Sharma,01-04-1954,S," ? 23,53,556.00 ",0,Partial College,Skilled Manual,Y
BB171,Aman Soni Badal,17-03-1954,M," ? 22,54,473.00 ",2,Partial College,Skilled Manual,Y
BB172,Jahoor Ahmed Meer,27-02-1954,M," ? 14,94,254.00 ",2,Partial College,Skilled Manual,Y
BB173,Kailash Kumar,02-09-1975,M," ? 33,66,320.00 ",0,High School,Skilled Manual,Y
BB174,Bhagwati Prasad,07-04-1975,S," ? 21,07,454.00 ",0,High School,Skilled Manual,Y
BB175,Dipendra Kumar,07-12-1975,M," ? 5,82,453.00 ",0,High School,Skilled Manual,Y
BB176,Doodhnath Pandit,09-10-1973,M," ? 10,69,554.00 ",0,Partial College,Skilled Manual,N
BB177,Aslam Allam,27-11-1973,M," ? 19,98,665.00 ",0,Partial College,Professional,Y
BB178,Jitender Kumar,25-09-1976,S," ? 20,78,695.00 ",0,Partial College,Professional,Y
BB179,Rakesh Sarkar,23-09-1955,S," ? 14,24,428.00 ",0,High School,Skilled Manual,Y
BB180,Akash Gupta,21-09-1955,S," ? 17,85,156.00 ",0,High School,Skilled Manual,N
BB181,Pintu Thakur,05-04-1955,M," ? 34,27,658.00 ",2,High School,Skilled Manual,Y
BB182,Mohd Khairul,26-06-1955,S," ? 7,16,573.00 ",0,High School,Skilled Manual,Y
BB183,Farmaan Khan,06-02-1955,S," ? 16,93,953.00 ",0,High School,Skilled Manual,N
BB184,Vansu Dev,14-08-1956,S," ? 5,34,246.00 ",0,High School,Skilled Manual,Y
BB185,Shyam Kumar,28-08-1956,S," ? 14,73,806.00 ",0,High School,Skilled Manual,Y
BB186,Lalit Kathuriya,16-11-1957,S," ? 7,02,972.00 ",0,High School,Professional,Y
BB187,Pooran Chand,13-07-1957,S," ? 33,64,680.00 ",0,High School,Professional,Y
BB188,Aamir Hussain,19-09-1957,S," ? 19,02,816.00 ",0,High School,Professional,N
BB189,Kamal Jit Singh,10-01-1974,S," ? 25,83,412.00 ",0,High School,Professional,N
BB190,Shiv Kumar,11-03-1959,S," ? 6,46,962.00 ",0,Graduate Degree,Management,Y
BB191,Mayank Chaudhary Rahul,17-07-1959,M," ? 32,94,816.00 ",0,Graduate Degree,Management,Y
BB192,Som Dutt,24-07-1966,M," ? 26,81,492.00 ",2,Bachelors,Management,Y
BB193,Bablu Regar,04-08-1966,S," ? 32,72,882.00 ",0,Graduate Degree,Management,N
BB194,Sarbjeet Ronak,15-03-1966,M," ? 29,52,468.00 ",0,Graduate Degree,Management,Y
BB195,Harsh Dagar,12-09-1957,S," ? 4,74,281.00 ",0,Partial High School,Skilled Manual,N
BB196,Anil Kumar,19-07-1957,S," ? 31,21,201.00 ",0,High School,Professional,N
BB197,Vijay Virmani,23-12-1957,M," ? 18,76,905.00 ",2,Partial College,Professional,Y
BB198,Vivek Auhari,03-10-1957,M," ? 8,58,675.00 ",3,Partial College,Professional,N
BB199,Subhash Chand Bhatia,05-02-1957,S," ? 32,90,740.00 ",0,Bachelors,Management,Y
BB200,Raghunandan Das,17-12-1957,S," ? 20,12,318.00 ",0,Partial College,Professional,Y
BB201,Ajay Kumar,04-04-1957,M," ? 6,69,122.00 ",2,Partial College,Professional,Y
BB202,Arun Vicky,06-05-1967,M," ? 32,66,570.00 ",2,Bachelors,Professional,Y
BB203,Mohan Kumar,10-09-1967,M," ? 25,77,364.00 ",0,Graduate Degree,Management,Y
BB204,Sandeep Meghawal,01-04-1962,S," ? 19,97,448.00 ",0,Partial College,Skilled Manual,N
BB205,Sandeep Kumar,01-09-1962,S," ? 33,99,966.00 ",0,Partial College,Skilled Manual,Y
BB206,Vishal Moni,10-08-1962,M," ? 13,22,325.00 ",1,Bachelors,Professional,Y
BB207,Mohd Shahid,27-10-1961,M," ? 26,07,812.00 ",1,Partial College,Skilled Manual,Y
BB208,Nanku Prasad,01-05-1961,S," ? 27,08,303.00 ",0,Partial College,Skilled Manual,N
BB209,Bhola Sarkar,08-03-1961,M," ? 12,88,688.00 ",1,Bachelors,Professional,Y
BB210,Ravindra Kumar,15-09-1960,S," ? 23,87,388.00 ",0,Partial College,Skilled Manual,Y
BB211,Rohit Kumar,08-05-1965,S," ? 29,36,233.00 ",0,Bachelors,Professional,N
BB212,Uttam Kumar Sanki,21-04-1965,S," ? 21,83,677.00 ",0,Bachelors,Professional,Y
BB213,Babalu Sen,17-10-1964,S," ? 11,19,386.00 ",0,Bachelors,Professional,Y
BB214,Rustam Shah,11-03-1964,M," ? 12,31,675.00 ",0,Bachelors,Professional,N
BB215,B Vikjay Kumar,28-12-1964,S," ? 23,17,453.00 ",0,Bachelors,Professional,N
BB216,Gopal Sharma,11-09-1964,S," ? 12,44,706.00 ",0,Bachelors,Professional,N
BB217,Manish Garg,09-09-1959,M," ? 25,36,863.00 ",1,Bachelors,Professional,Y
BB218,Jatin Sonu,14-07-1963,S," ? 2,88,246.00 ",0,Bachelors,Professional,N
BB219,Amit Kumar,05-11-1963,S," ? 32,37,933.00 ",0,Bachelors,Professional,N
BB220,Phoolwati Phoolo Devi,06-06-1962,M," ? 10,80,224.00 ",1,Partial College,Skilled Manual,Y
BB221,Mohit Maan,23-02-1962,M," ? 21,56,671.00 ",1,Partial College,Skilled Manual,Y
BB222,Veer Bhan Singh,09-09-1962,M," ? 26,47,384.00 ",1,Partial College,Skilled Manual,Y
BB223,Dinesh Kumar,21-02-1962,M," ? 10,91,321.00 ",5,Bachelors,Professional,Y
BB224,Esrail Khan,28-05-1962,S," ? 17,66,264.00 ",0,Partial College,Skilled Manual,Y
BB225,Suresh Kumar,12-02-1962,M," ? 10,51,010.00 ",5,Partial College,Skilled Manual,Y
BB226,Pankaj Chand,07-10-1962,M," ? 13,79,043.00 ",5,Partial College,Skilled Manual,Y
BB227,Ajay Narayan,21-02-1961,M," ? 29,26,111.00 ",5,Partial College,Skilled Manual,Y
BB228,Mohit Himanshu,03-07-1957,S," ? 26,21,466.00 ",0,Partial College,Skilled Manual,N
BB229,Nikhleshwar Bhagat,10-04-1935,S," ? 16,88,224.00 ",0,Partial College,Clerical,N
BB230,Jai Singh,18-11-1960,M," ? 23,45,627.00 ",5,Partial College,Skilled Manual,Y
BB231,Sunil Kumar,02-04-1960,M," ? 8,65,298.00 ",5,Partial College,Skilled Manual,Y
BB232,Ram Kishan,20-06-1960,M," ? 34,86,803.00 ",5,Partial College,Skilled Manual,Y
BB233,Pritam Singh,27-07-1957,S," ? 5,50,600.00 ",0,Partial College,Skilled Manual,Y
BB234,Mohd Kausar,08-04-1956,S," ? 34,93,902.00 ",0,Partial College,Skilled Manual,Y
BB235,Harman Singh,07-04-1949,M," ? 10,44,727.00 ",2,High School,Skilled Manual,N
BB236,Vinod Lal,21-10-1975,M," ? 25,99,325.00 ",0,High School,Skilled Manual,Y
BB237,Chander Shaker,05-12-1975,M," ? 34,52,917.00 ",0,High School,Skilled Manual,Y
BB238,Ram Ji,05-08-1975,S," ? 10,48,109.00 ",0,High School,Skilled Manual,Y
BB239,Mohammad Ali,06-01-1980,M," ? 3,02,391.00 ",0,High School,Skilled Manual,Y
